"site_id","year","kelp","no3","waves"
123,1987,32485.625,6.8975,3.01275
124,1987,105601.75,6.7575,2.80575
125,1987,296.5,6.795,2.3875
126,1987,133082,6.9225,3.092
127,1987,351409.25,6.9225,2.77825
128,1987,173107.25,6.86,2.769
129,1987,161507.5,6.7,3.0195
130,1987,377739.25,6.97,3.083
131,1987,492008,6.975,3.41125
132,1987,140913.875,6.3275,3.8165
133,1987,101461.75,6.295,4.22625
134,1987,186414.125,6.265,3.43825
135,1987,105637.25,6.0125,4.0575
136,1987,5102,6.0025,4.1895
137,1987,17212,6.015,4.2075
138,1987,5197.5,6,5.106
139,1987,14637.125,5.88,3.55425
140,1987,160065.625,5.8825,3.15025
141,1987,206664.5,5.96,3.5965
142,1987,220792,5.96,3.3155
143,1987,25373.625,5.96,3.53625
144,1987,60725.375,5.96,2.95225
145,1987,149914.25,5.8775,3.2695
146,1987,276031.375,5.99,3.2395
147,1987,388689.75,5.99,3.2665
148,1987,445316.625,5.99,3.78075
149,1987,25361.875,5.99,3.513
150,1987,115379.125,5.99,4.103
151,1987,23498.75,6.015,3.54075
152,1987,6283.25,6.4475,3.479
153,1987,24942.375,6.47,3.331
154,1987,95474,6.445,3.254
155,1987,15310.5,6.4425,3.4995
156,1987,11188.5,6.355,4.03525
157,1987,3510.75,6.055,3.5665
158,1987,10036.875,5.8775,4.0465
159,1987,4575.375,5.935,3.48975
160,1987,3796.5,5.7725,3.271
161,1987,9844.625,5.7725,4.47
162,1987,20314.75,5.83,4.62725
163,1987,40638.5,5.53,2.661
164,1987,184817.5,5.5175,3.0015
165,1987,236599.375,5.5175,3.3565
166,1987,181189,5.5175,2.40275
167,1987,276660.75,5.3775,2.87825
168,1987,378286.375,5.4175,2.66575
169,1987,797791.625,5.6725,2.96775
170,1987,765649,5.6575,2.5315
171,1987,723674.375,5.6575,3.6155
172,1987,902083.375,5.8825,2.94275
173,1987,98030.5,5.2725,2.97
174,1987,174763.125,5.1625,2.5225
175,1987,168229.625,5.45,2.175
176,1987,86381.375,5.4975,2.46375
177,1987,20764.75,5.58,2.552
178,1987,291227.25,5.58,2.541
179,1987,460575.125,5.43,2.71
180,1987,257649.125,5.1025,2.535
181,1987,451024.625,5.1025,2.931
182,1987,429537.375,5.065,2.74125
183,1987,8268.25,5.265,3.03975
184,1987,43155.25,5.0075,3.27725
185,1987,198463.625,4.975,3.20775
186,1987,410594.375,4.975,2.688
187,1987,42757.125,4.7325,3.3995
188,1987,302603.875,5.0925,3.35975
189,1987,581722.75,4.9925,3.6765
190,1987,352190.625,5.035,2.75275
191,1987,425553.625,5.0325,3.28625
192,1987,319534.875,5.0625,2.979
193,1987,195711.25,4.9725,3.15925
194,1987,450764.5,5.02,3.036
195,1987,601752,5.08,3.48575
196,1987,412213.25,5.17,3.38375
197,1987,564606.625,5.03,3.1245
198,1987,755307.875,5.0125,3.16225
199,1987,415682.75,5.025,3.665
200,1987,460490.25,5.075,3.5255
201,1987,666500.375,5.195,3.0525
202,1987,600596.25,5.2775,3.25425
203,1987,172359.75,5.485,2.58525
204,1987,407084.75,5.485,2.951
205,1987,189123.625,5.485,2.926
206,1987,136261.625,5.485,3.10275
207,1987,104014.5,5.5575,2.89
208,1987,603944.125,5.5525,2.67275
209,1987,583702.25,5.7025,2.34
210,1987,14735.5,5.81,2.5325
211,1987,5798.5,5.4975,3.056
212,1987,48223.125,5.4975,4.13075
213,1987,51865.875,5.5075,4.4775
214,1987,86041.25,5.4725,3.01
215,1987,40434.25,5.4725,3.757
216,1987,1360.75,5.2125,3.08575
217,1987,37065.5,5.265,2.94625
218,1987,106302.625,5.5825,2.50675
219,1987,105852.875,5.825,3.3845
220,1987,67908.375,5.825,2.36325
221,1987,1169.75,5.8275,2.36325
222,1987,225670.5,5.835,2.02075
223,1987,131253.5,5.835,2.35525
224,1987,62093,5.835,2.19125
225,1987,17704.875,4.57,3.71825
226,1987,22485.25,4.705,3.18475
227,1987,5900.5,3.7775,2.307
228,1987,14166,3.7875,2.3635
229,1987,244109.25,3.8225,2.27675
230,1987,75036,3.69,1.9865
231,1987,30919.75,3.7375,2.313
232,1987,97631.75,3.5125,2.393
233,1987,50170.25,3.5775,2.8755
234,1987,143534.5,3.4875,2.79875
235,1987,151813.5,3.4875,2.81075
236,1987,413990.25,3.5375,2.75125
237,1987,62718.75,3.3775,3.055
238,1987,597629.5,3.3175,3.5145
239,1987,46953.75,3.2775,4.175
240,1987,155947.75,3.2775,3.08675
241,1987,58194.5,3.17,3.1655
242,1987,2813.5,2.925,4.10975
243,1987,39543,2.835,1.696
244,1987,59922,2.8225,1.7075
245,1987,117248.75,2.85,1.46725
246,1987,100691.5,2.82,1.4045
247,1987,68101.25,2.805,1.53675
248,1987,57460,2.7475,1.8225
249,1987,129085.75,2.7825,1.80125
250,1987,49247.75,2.6675,1.76025
251,1987,15653.5,2.64,2.001
252,1987,4514,2.5175,2.42875
253,1987,113187,2.52,2.223
254,1987,80140.75,2.495,2.0875
255,1987,8309.25,2.495,1.9235
256,1987,25153.5,2.2675,1.1925
257,1987,29337.5,2.32,1.39775
258,1987,28998.75,2.1975,1.54425
259,1987,5672.75,2.2525,1.49475
260,1987,13017.75,2.0625,1.9835
261,1987,1768.25,2.085,2.07325
262,1987,2593,1.775,1.07775
263,1987,510.75,1.7525,1.048
264,1987,4246.75,1.7525,1.15875
265,1987,29699.75,1.8075,1.194
266,1987,43618.25,1.825,1.27275
267,1987,27419,1.735,1.231
268,1987,18671,1.7075,1.21625
269,1987,28466.25,1.6975,1.18225
270,1987,670.75,1.715,1.143
271,1987,397.25,1.755,1.062
272,1987,4967.5,1.425,1.40425
273,1987,7183.5,1.43,1.52075
274,1987,262341,1.41,1.587
275,1987,127308,1.4075,1.41275
276,1987,891,1.3675,1.40925
277,1987,6597.5,1.395,1.139
278,1987,101891.5,1.3675,1.255
279,1987,230447.75,1.3375,1.427
280,1987,41866.25,1.3375,1.357
281,1987,24059.5,1.3275,1.55725
282,1987,33232.25,1.3225,1.3655
283,1987,266526.75,1.315,1.27875
284,1987,236034.75,1.3025,1.186
285,1987,14996.5,1.295,1.0855
286,1987,18848,1.295,0.84375
287,1987,40187.25,1.265,1.013
288,1987,15835.5,1.2375,1.014
289,1987,2444.5,1.135,1.164
290,1987,3128,1.095,1.2205
291,1987,11180.25,1.085,1.2475
292,1987,56917,1.0625,1.259
293,1987,28188.25,1.065,1.1635
294,1987,28214,1.04,0.644
295,1987,27268,1.0225,1.022
296,1987,82052.75,1.0375,1.31375
297,1987,248333.75,1.0375,1.19525
298,1987,3300.5,1.045,1.46075
299,1987,181797.25,0.965,1.29075
300,1987,39905.25,0.96,1.2755
301,1987,54884.75,0.9475,1.2735
302,1987,135571.75,0.4625,1.404
303,1987,155220,0.4625,1.5575
304,1987,127233.25,0.4325,1.663
305,1987,177078,0.455,1.75025
306,1987,367050.5,0.455,1.598
307,1987,261960,0.425,1.35025
308,1987,528917.75,0.4225,1.565
309,1987,63102.75,0.4325,1.4285
310,1987,146214.25,0.4325,1.40575
311,1987,74181.5,0.4325,1.31
312,1987,31082.5,0.47,1.33275
313,1987,105608.75,0.5025,1.35375
314,1987,74464,0.5075,1.302
315,1987,57929.25,0.485,1.35925
316,1987,82910,0.49,0.97
317,1987,9996.75,0.53,0.862
318,1987,52068.5,0.545,0.857
319,1987,33528.5,0.55,0.96375
320,1987,31974.75,0.55,0.9125
321,1987,69309,0.5525,1.02675
322,1987,140277.25,0.3125,1.84125
323,1987,121769.75,0.2975,1.681
324,1987,250835.25,0.2925,1.9265
325,1987,491215.25,0.3225,2.088
326,1987,116645,0.2825,1.5885
327,1987,43564.25,0.2825,1.84725
328,1987,2358.25,0.265,1.97925
329,1987,27709.5,0.2625,1.28225
330,1987,24189.25,0.2425,1.67325
331,1987,27362.75,0.2275,1.202
332,1987,15708.25,0.2325,0.809
333,1987,23886.5,0.2325,1.09325
334,1987,5742.25,0.25,1.1155
335,1987,107298.25,0.26,1.321
336,1987,36007.75,0.2825,1.41975
337,1987,43599.25,0.2825,1.58875
338,1987,55831.75,0.2825,1.60425
339,1987,33473.75,0.2775,1.61775
340,1987,27802,0.27,1.5795
341,1987,67365.5,0.2875,1.56325
342,1987,84109.75,0.305,1.4475
343,1987,37341.25,0.305,1.448
344,1987,106500.75,0.305,1.8125
345,1987,1546.25,0.2225,1.05625
346,1987,4192.5,0.2225,1.129
347,1987,4060,0.225,1.35025
348,1987,1691.25,0.2225,1.231
349,1987,20174.5,0.21,1.22075
350,1987,61276.5,0.2125,1.40025
351,1987,1700.75,0.18,1.6205
352,1987,11692.5,0.1575,1.63
353,1987,74267.25,0.1325,2.776
354,1987,454609.25,0.135,2.1855
355,1987,635383.25,0.135,2.35725
356,1987,384677.75,0.135,2.726
357,1987,108668,0.16,2.184
358,1987,718084,0.175,2.26775
359,1987,750468.5,0.1725,2.10625
360,1987,663907.5,0.1675,2.32625
361,1987,463927.25,0.1775,2.40775
1,1988,0,9.0725,2.782
2,1988,14087.25,9.075,4.735
3,1988,51198.25,8.765,3.173
4,1988,25811,8.97,3.073
5,1988,4542.75,8.5475,3.02825
6,1988,211365.75,8.4675,2.9945
7,1988,70725.5,8.275,2.60325
8,1988,89717,8.24,2.6715
9,1988,13469,8.315,2.53975
10,1988,45570.75,8.595,2.31475
11,1988,19048.75,8.57,2.11975
12,1988,53487.25,8.5675,2.42125
13,1988,146171.25,8.53,2.14975
14,1988,183869.5,8.5375,2.69875
15,1988,116845.25,8.4925,1.7025
16,1988,45128.5,7.8675,2.19175
17,1988,502173,7.8675,1.93375
18,1988,83961,7.85,1.84975
19,1988,76233.75,7.88,1.68575
20,1988,49764.75,7.955,1.77175
21,1988,55667.75,7.9825,1.8345
22,1988,13569,6.805,0.7745
23,1988,30461.25,6.9375,1.36725
24,1988,82411,6.9375,1.293
25,1988,209371,7.0425,2.603
26,1988,391744.5,7.5175,2.001
27,1988,551844.25,7.5175,2.7885
28,1988,494649,7.465,3.619
29,1988,348703.5,7.7075,4.44725
30,1988,296683,7.7975,4.0925
31,1988,788200.5,7.9925,4.761
32,1988,73281,8.015,4.32325
33,1988,146761.5,8.05,4.38175
34,1988,413941.75,7.9775,4.361
35,1988,999541.75,7.9775,4.62825
36,1988,757179,8.1075,2.89725
37,1988,460735,8.1325,4.0725
38,1988,585673.5,8.1325,3.31975
39,1988,918291.75,8.2475,2.4295
40,1988,656349.5,8.0975,2.451
41,1988,601948,8.125,2.18725
42,1988,1089766.75,8.125,2.64325
43,1988,904143,8.095,2.923
44,1988,54844.75,8.22,1.756
45,1988,34231.5,8.4775,1.3455
46,1988,135388.75,8.4525,2.22775
47,1988,126179.5,8.6475,4.55875
48,1988,799869.5,8.6475,3.96075
49,1988,670534.25,8.55,2.722
50,1988,366698.25,8.5125,2.8145
51,1988,257722.25,8.5125,4.23175
52,1988,285041.75,9.0975,5.11725
53,1988,649991,9.105,4.53675
54,1988,587619,9.2575,3.62125
55,1988,616629.5,9.355,3.3635
56,1988,142837.75,9.355,4.3625
57,1988,697892.5,9.185,4.10825
58,1988,390456.75,9.16,3.85525
59,1988,349532,9.16,4.0555
60,1988,297524.25,9.16,4.23975
61,1988,22624.25,9.32,4.64425
62,1988,192798.25,9.2775,3.939
63,1988,106796.75,9.2775,4.6065
64,1988,478611.25,9.2775,3.4905
65,1988,91027.25,8.525,4.3625
66,1988,60652.5,9.0675,4.153
67,1988,32176,8.4325,3.71925
68,1988,38369,8.4325,4.204
69,1988,79284.5,8.2875,4.66125
70,1988,125077.5,8.42,4.2095
71,1988,105839.25,8.8825,3.73725
72,1988,9737.75,8.8825,3.76825
73,1988,3845.75,8.845,4.42875
74,1988,0,8.4025,4.635
75,1988,44240,8.6925,5.02275
76,1988,316109.5,8.79,4.02375
77,1988,643645.25,8.915,3.881
78,1988,1428631.25,8.9125,5.43825
79,1988,2217170,9.02,6.19675
80,1988,361919.25,9.2025,4.29475
81,1988,41032.25,9.205,3.8055
82,1988,4161.25,8.93,3.8855
83,1988,23669.25,8.925,3.68175
84,1988,166027.5,8.5175,2.44325
85,1988,236864,8.94,2.17075
86,1988,78032,9.0525,2.27225
87,1988,560388.25,9.04,2.1175
88,1988,201956,8.6225,2.33925
89,1988,322268.25,8.6675,2.55925
90,1988,128471.5,8.825,2.63475
91,1988,397661.75,8.825,2.47175
92,1988,442468.25,8.825,2.061
93,1988,366282,8.635,1.6585
94,1988,553947.5,8.635,2.149
95,1988,54322.25,8.6375,2.06125
96,1988,12367.5,8.6375,2.49275
97,1988,86571.25,8.615,3.02275
98,1988,264766,8.6475,2.952
99,1988,207732.5,8.6625,2.2765
100,1988,153485.25,8.6625,2.64025
101,1988,348677.25,8.645,3.1265
102,1988,405201.75,8.735,2.959
103,1988,605694.25,8.5775,3.21275
104,1988,443947.5,7.945,3.64125
105,1988,1088248.5,7.945,3.267
106,1988,679529,7.99,3.45475
107,1988,432133,7.99,2.90525
108,1988,501691.5,7.99,3.27575
109,1988,379518,7.99,4.3155
110,1988,130381.75,7.7325,3.61525
111,1988,542142.75,7.7325,3.23625
112,1988,850127.25,7.7975,2.92675
113,1988,516807,7.74,2.3935
114,1988,178293.5,7.8075,3.037
115,1988,336220.5,7.72,3.55025
116,1988,416137.75,7.6075,3.94175
117,1988,199300.75,7.6375,4.07625
118,1988,59002.5,7.61,3.67375
119,1988,306319,7.815,3.82075
120,1988,219448.25,7.815,3.36475
121,1988,81308.25,7.9625,3.344
122,1988,80423.5,7.985,2.5215
123,1988,25157.75,7.9325,2.89225
124,1988,72472,7.9775,2.73525
125,1988,2854.125,8.04,2.39825
126,1988,112536.75,7.835,3.0665
127,1988,226630.75,7.835,2.7665
128,1988,186192.75,7.565,2.8475
129,1988,163034.25,7.4475,3.04725
130,1988,253296.25,7.4775,3.12175
131,1988,371554.25,7.54,3.3895
132,1988,301854.25,7.3075,3.9175
133,1988,195575.5,7.4375,4.331
134,1988,273439.25,7.4525,3.425
135,1988,176934.75,7.2025,4.085
136,1988,29007.75,7.1975,4.3645
137,1988,24648.5,7.2,4.147
138,1988,15999.25,7.205,4.9975
139,1988,50242.75,7.095,3.615
140,1988,152389.5,7.0975,3.134
141,1988,34412.5,7.205,3.54475
142,1988,86294.75,7.205,3.32625
143,1988,4602.25,7.185,3.53175
144,1988,24989,7.185,2.9295
145,1988,90680,7.295,3.27825
146,1988,184392.75,7.67,3.2685
147,1988,320826.25,7.5325,3.2495
148,1988,504963,7.5325,3.73875
149,1988,72556,7.51,3.49975
150,1988,521871.5,7.51,4.1815
151,1988,145090,7.4775,3.5805
152,1988,44177,7.585,3.63675
153,1988,115019.5,7.945,3.3225
154,1988,116049.75,7.585,3.33625
155,1988,77422.5,7.5875,3.59175
156,1988,682.75,7.7225,4.09475
157,1988,497,7.6275,3.65125
158,1988,4344,7.775,4.0765
159,1988,334.25,7.395,3.7185
160,1988,367.5,7.4675,3.5975
161,1988,4984.25,7.4675,4.5845
162,1988,3987,7.4625,4.598
163,1988,46546.875,7.2875,2.669
164,1988,99099,7.395,2.941
165,1988,121075.25,7.395,3.315
166,1988,59575,7.395,2.4805
167,1988,146948,7.44,3.02425
168,1988,195238.25,7.435,2.79675
169,1988,350119.5,7.4925,3.232
170,1988,239008.25,7.4175,2.54525
171,1988,320445.25,7.405,3.3965
172,1988,511048.5,7.725,3.179
173,1988,27951,7.2975,2.94825
174,1988,94855.75,7.2975,2.55925
175,1988,86863.25,7.615,2.061
176,1988,40126.25,7.8225,2.25725
177,1988,15211.75,7.7325,2.50325
178,1988,155849.5,7.7325,2.77375
179,1988,222165.75,7.69,2.71425
180,1988,148510.25,7.2,2.62325
181,1988,358993.75,7.2,2.98275
182,1988,299204.25,7.225,2.86
183,1988,16446,7.545,3.13325
184,1988,74435,7.2775,3.285
185,1988,215541.25,7.4825,3.09475
186,1988,320180.25,7.4825,2.71275
187,1988,66983.25,7.305,3.66225
188,1988,291044.5,7.285,3.4225
189,1988,257696.75,7.2975,3.70375
190,1988,240657.25,7.2875,2.75375
191,1988,276821.5,7.2775,3.499
192,1988,143364.5,7.2425,3.104
193,1988,130780.25,7.18,3.2485
194,1988,154398.25,7.255,3.305
195,1988,210496.75,7.3475,3.5075
196,1988,213365.5,7.3375,3.50825
197,1988,228946,7.345,3.28175
198,1988,206825,7.3925,3.23675
199,1988,59195.5,7.4075,3.91725
200,1988,133556.5,7.4975,3.675
201,1988,199049.5,7.3575,3.191
202,1988,227537,7.38,3.4375
203,1988,67146,7.535,2.72175
204,1988,148601,7.535,2.9835
205,1988,146855.75,7.535,2.753
206,1988,53877.5,7.535,3.1655
207,1988,43940.25,7.48,2.917
208,1988,165826,7.61,2.69925
209,1988,474528.25,7.85,2.439
210,1988,11074.75,7.49,2.42725
211,1988,0,6.5225,3.27275
212,1988,19429.25,6.5225,4.10675
213,1988,50799.5,6.6975,4.58425
214,1988,41820.75,6.885,3.0915
215,1988,5511.25,6.88,3.71775
216,1988,0,6.865,3.1645
217,1988,3844.25,6.8025,3.32775
218,1988,117305,7.4775,2.41675
219,1988,218387.5,7.59,3.18525
220,1988,171949.75,7.59,2.31
221,1988,9841,7.5775,2.31
222,1988,347653.75,7.5775,2.3635
223,1988,123947,7.5775,2.2845
224,1988,51908.25,7.5775,2.17175
225,1988,16988.375,5.5325,3.87675
226,1988,22696.75,5.815,3.21575
227,1988,8773,5.2425,2.3265
228,1988,31730,5.285,3.0205
229,1988,337916,5.2775,2.59225
230,1988,118826.25,5.2775,2.156
231,1988,67934.5,5.285,2.52975
232,1988,184983.25,5.4075,2.64225
233,1988,84209.5,5.3675,3.0105
234,1988,209968.5,5.065,2.832
235,1988,164399.25,5.065,2.944
236,1988,19992.75,5.04,2.70325
237,1988,28216,4.8675,3.06625
238,1988,492177.5,4.75,3.59925
239,1988,349336.25,4.7475,3.96575
240,1988,177243.5,4.7475,3.0355
241,1988,32876.75,4.65,3.283
242,1988,9801.25,4.5175,4.33425
243,1988,19626.875,4.455,1.75275
244,1988,22377.5,4.4475,1.7515
245,1988,64824.5,4.3675,1.44975
246,1988,15981.25,4.255,1.379
247,1988,75727,4.16,1.576
248,1988,159987.75,4.025,1.913
249,1988,185844.5,3.955,1.847
250,1988,72036,3.85,1.75475
251,1988,1254.5,3.795,2.04875
252,1988,1239.25,3.645,2.4995
253,1988,6727,3.6475,2.20025
254,1988,7172,3.41,2.15675
255,1988,10975.25,3.41,1.94475
256,1988,14285.75,3.31,1.172
257,1988,64954.5,3.3425,1.499
258,1988,53237.5,3.05,1.73
259,1988,5353.25,3.1375,1.53675
260,1988,6337.5,3.035,2.08925
261,1988,4388,2.9025,2.018
262,1988,1402.25,2.6125,1.0445
263,1988,1812.5,2.63,1.021
264,1988,3369.125,2.63,1.1385
265,1988,105138.75,2.5375,1.18575
266,1988,26130.25,2.46,1.2745
267,1988,59759.25,2.39,1.216
268,1988,99242,2.42,1.20525
269,1988,10028.75,2.4125,1.17375
270,1988,6896.5,2.4125,1.124
271,1988,2829,2.38,1.04625
272,1988,6357.25,2.135,1.43675
273,1988,10056.25,2.07,1.543
274,1988,123675.75,2.015,1.6175
275,1988,57050.75,2.01,1.4825
276,1988,13172,2.025,1.38475
277,1988,6766.5,2.0175,1.11425
278,1988,16378.5,1.92,1.29425
279,1988,61369.75,1.925,1.43025
280,1988,20785.25,1.925,1.36225
281,1988,20514.5,1.8875,1.54625
282,1988,104808,1.885,1.365
283,1988,245823.5,1.85,1.2865
284,1988,263580,1.83,1.243
285,1988,15535.5,1.85,1.10825
286,1988,18127.75,1.85,0.87825
287,1988,17762,1.7375,1.05325
288,1988,11628.75,1.6975,1.06025
289,1988,4365.75,1.6175,1.188
290,1988,1669.25,1.6175,1.2255
291,1988,8297.75,1.595,1.249
292,1988,13203.25,1.565,1.2465
293,1988,11380,1.545,1.156
294,1988,16359,1.485,0.63825
295,1988,8913.75,1.4775,1.032
296,1988,52625.25,1.4475,1.434
297,1988,153870.5,1.4475,1.30275
298,1988,957.125,1.4525,1.584
299,1988,16821.5,1.385,1.3015
300,1988,5022,1.3425,1.26775
301,1988,29196,1.345,1.2535
302,1988,24148.75,0.7875,1.33275
303,1988,40937.25,0.7875,1.50725
304,1988,43253.25,0.6875,1.5925
305,1988,135024.625,0.6925,1.659
306,1988,160854,0.6925,1.5115
307,1988,87306,0.655,1.257
308,1988,222924.25,0.6675,1.504
309,1988,52808.625,0.645,1.33625
310,1988,83748.125,0.645,1.341
311,1988,25641.75,0.65,1.20325
312,1988,12718.25,0.68,1.24025
313,1988,83441.25,0.675,1.25725
314,1988,10706.125,0.67,1.2375
315,1988,40451,0.625,1.2745
316,1988,57393,0.6275,0.8285
317,1988,4585.875,0.5975,0.776
318,1988,16126.375,0.62,0.74825
319,1988,16143.875,0.65,0.8065
320,1988,25059,0.65,0.781
321,1988,20119.25,0.605,0.93725
322,1988,69872.25,0.5625,1.815
323,1988,97642.25,0.5525,1.58675
324,1988,160089.25,0.5675,1.8345
325,1988,183662.5,0.5825,2.02375
326,1988,206189.5,0.585,1.5485
327,1988,68375.25,0.585,1.8115
328,1988,48803.75,0.58,1.883
329,1988,81793,0.5775,1.22625
330,1988,86226,0.5875,1.6485
331,1988,113292,0.57,1.1615
332,1988,14760.25,0.605,0.76875
333,1988,25553.25,0.6,1.06075
334,1988,9480.5,0.5925,1.0595
335,1988,138321.75,0.5975,1.26475
336,1988,87045.5,0.615,1.433
337,1988,80084,0.615,1.58375
338,1988,190942.5,0.615,1.56225
339,1988,185284.5,0.5875,1.57625
340,1988,68618.5,0.56,1.52025
341,1988,22314,0.5625,1.50525
342,1988,236909.25,0.585,1.41525
343,1988,115262.75,0.59,1.39625
344,1988,54857.25,0.57,1.74775
345,1988,414.75,0.43,0.97975
346,1988,3928.75,0.41,1.047
347,1988,4736,0.4125,1.267
348,1988,1488,0.415,1.1465
349,1988,5234.75,0.38,1.1435
350,1988,35550.75,0.3825,1.30525
351,1988,287.75,0.35,1.4825
352,1988,10919.5,0.345,1.48225
353,1988,10597,0.335,2.52
354,1988,29191,0.32,2.0375
355,1988,68207,0.305,2.155
356,1988,38615.25,0.29,2.453
357,1988,23374.75,0.33,2.01275
358,1988,74388.5,0.325,2.099
359,1988,76667.625,0.335,1.9545
360,1988,102674.5,0.33,2.15925
361,1988,76674.5,0.3575,2.24025
1,1989,826,7.8575,2.1135
2,1989,30741,7.6575,2.992
3,1989,108328.5,7.755,2.16425
4,1989,34818.25,7.6525,2.0915
5,1989,19421.5,7.7425,2.0755
6,1989,381039.5,7.7275,2.0355
7,1989,136202.5,7.755,1.83775
8,1989,168632,7.6175,1.84825
9,1989,20782.5,7.265,1.8135
10,1989,40331.5,7.275,1.679
11,1989,57427.5,7.25,1.5865
12,1989,115387.25,7.2625,1.7465
13,1989,190024.5,7.2825,1.61725
14,1989,282295.5,7.4225,1.80725
15,1989,79881.25,7.4475,1.38275
16,1989,76904,7.03,1.559
17,1989,442569,7.03,1.37525
18,1989,50829.5,6.6675,1.299
19,1989,33352.5,6.57,1.23425
20,1989,16356.5,6.645,1.25275
21,1989,6396.5,6.6225,1.27475
22,1989,8664,6.2,0.58975
23,1989,27455.25,6.8475,0.946
