model,MONTH,Independent_variable,Dependent_variable,slope,intercept,pvalue,rsquare,N
7,9,Frond density (num m-2) in September,Annual NPP carbon (kg carbon m-2 d-1),0.00047,0.00039,<.0001,0.63,44
7,10,Frond density (num m-2) in October,Annual NPP carbon (kg carbon m-2 d-1),0.0004,0.00067,<.0001,0.45,41
7,11,Frond density (num m-2) in November,Annual NPP carbon (kg carbon m-2 d-1),0.0003,0.00111,<.0001,0.3,44
7,12,Frond density (num m-2) in December,Annual NPP carbon (kg carbon m-2 d-1),0.00025,0.00139,0.001,0.23,44
8,1,Frond density (num m-2) in January,Subsurface FSC dry (kg dry mass m-2) in January,0.02777,0,<.0001,0.98,41
8,2,Frond density (num m-2) in February,Subsurface FSC dry (kg dry mass m-2) in February,0.02425,0,<.0001,0.95,45
8,3,Frond density (num m-2) in March,Subsurface FSC dry (kg dry mass m-2) in March,0.02338,0,<.0001,0.97,45
8,4,Frond density (num m-2) in April,Subsurface FSC dry (kg dry mass m-2) in April,0.02134,0,<.0001,0.94,46
8,5,Frond density (num m-2) in May,Subsurface FSC dry (kg dry mass m-2) in May,0.02061,0,<.0001,0.96,48
8,6,Frond density (num m-2) in June,Subsurface FSC dry (kg dry mass m-2) in June,0.02037,0,<.0001,0.97,48
8,7,Frond density (num m-2) in July,Subsurface FSC dry (kg dry mass m-2) in July,0.02123,0,<.0001,0.97,48
8,8,Frond density (num m-2) in August,Subsurface FSC dry (kg dry mass m-2) in August,0.02321,0,<.0001,0.96,48
8,9,Frond density (num m-2) in September,Subsurface FSC dry (kg dry mass m-2) in September,0.02533,0,<.0001,0.95,48
8,10,Frond density (num m-2) in October,Subsurface FSC dry (kg dry mass m-2) in October,0.02747,0,<.0001,0.94,45
8,11,Frond density (num m-2) in November,Subsurface FSC dry (kg dry mass m-2) in November,0.0303,0,<.0001,0.95,48
8,12,Frond density (num m-2) in December,Subsurface FSC dry (kg dry mass m-2) in December,0.0281,0,<.0001,0.97,48
9,1,FSC dry (kg dry mass m-2) in January,Seasonal NPP carbon (kg carbon m-2 d-1) in winter,0.00874,0.0005,<.0001,0.77,40
9,2,FSC dry (kg dry mass m-2) in February,Seasonal NPP carbon (kg carbon m-2 d-1) in winter,0.00897,0.0005,<.0001,0.81,44
9,3,FSC dry (kg dry mass m-2) in March,Seasonal NPP carbon (kg carbon m-2 d-1) in winter,0.00781,0.00098,<.0001,0.76,44
9,4,FSC dry (kg dry mass m-2) in April,Seasonal NPP carbon (kg carbon m-2 d-1) in spring,0.0088,0.00047,<.0001,0.82,44
9,5,FSC dry (kg dry mass m-2) in May,Seasonal NPP carbon (kg carbon m-2 d-1) in spring,0.00839,0.0003,<.0001,0.89,44
9,6,FSC dry (kg dry mass m-2) in June,Seasonal NPP carbon (kg carbon m-2 d-1) in spring,0.00838,0.00001,<.0001,0.94,44
9,7,FSC dry (kg dry mass m-2) in July,Seasonal NPP carbon (kg carbon m-2 d-1) in summer,0.00859,0.00037,<.0001,0.9,47
9,8,FSC dry (kg dry mass m-2) in August,Seasonal NPP carbon (kg carbon m-2 d-1) in summer,0.00719,0.00042,<.0001,0.96,47
9,9,FSC dry (kg dry mass m-2) in September,Seasonal NPP carbon (kg carbon m-2 d-1) in summer,0.00773,0.00027,<.0001,0.96,47
9,10,FSC dry (kg dry mass m-2) in October,Seasonal NPP carbon (kg carbon m-2 d-1) in autumn,0.00323,0.00167,<.0001,0.5,44
9,11,FSC dry (kg dry mass m-2) in November,Seasonal NPP carbon (kg carbon m-2 d-1) in autumn,0.00903,0.00019,<.0001,0.74,47
9,12,FSC dry (kg dry mass m-2) in December,Seasonal NPP carbon (kg carbon m-2 d-1) in autumn,0.00808,0.00033,<.0001,0.82,47
